2019-08-01 14:49:59.862 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.example.demo.DemoApplicationTests], using SpringBootContextLoader
2019-08-01 14:49:59.872 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.example.demo.DemoApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2019-08-01 14:49:59.873 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.example.demo.DemoApplicationTests]: DemoApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2019-08-01 14:50:00.067 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.example.demo.DemoApplication for test class com.example.demo.DemoApplicationTests
2019-08-01 14:50:00.080 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2019-08-01 14:50:00.124 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@1c93084c, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@6ef888f6, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@10e92f8f, org.springframework.test.context.support.DirtiesContextTestExecutionListener@7ce3cb8e, org.springframework.test.context.transaction.TransactionalTestExecutionListener@78b66d36, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@5223e5ee, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@bef2d72, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@69b2283a, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@22a637e7, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@6fe7aac8, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@1d119efb, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@659a969b]
2019-08-01 14:50:00.125 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.example.demo.PersonConfigTest], using SpringBootContextLoader
2019-08-01 14:50:00.126 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.example.demo.PersonConfigTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2019-08-01 14:50:00.126 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.example.demo.PersonConfigTest]: PersonConfigTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2019-08-01 14:50:00.135 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.example.demo.DemoApplication for test class com.example.demo.PersonConfigTest
2019-08-01 14:50:00.143 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2019-08-01 14:50:00.148 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@3daa422a, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@31c88ec8, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@1cbbffcd, org.springframework.test.context.support.DirtiesContextTestExecutionListener@27ce24aa, org.springframework.test.context.transaction.TransactionalTestExecutionListener@481a996b, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@3d51f06e, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@7ed7259e, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@28eaa59a, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@3427b02d, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@647e447, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@41fbdac4, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@3c407114]
2019-08-01 14:50:00.162 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.example.demo.DemoApplicationTests], using SpringBootContextLoader
2019-08-01 14:50:00.165 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.example.demo.DemoApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2019-08-01 14:50:00.166 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.example.demo.DemoApplicationTests]: DemoApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
